,path,keep
1,S2A_MSIL2A_20160116T103352_N0500_R108_T32TLR_20231009T195325.SAFE,True
2,S2A_MSIL2A_20160126T103312_N0500_R108_T32TLR_20231024T064419.SAFE,True
3,S2A_MSIL2A_20160205T103222_N0500_R108_T32TLR_20231025T105344.SAFE,True
4,S2A_MSIL2A_20160215T103122_N0500_R108_T32TLR_20231026T001000.SAFE,True
5,S2A_MSIL2A_20160306T103022_N0500_R108_T32TLR_20231018T062620.SAFE,True
6,S2A_MSIL2A_20160326T103032_N0500_R108_T32TLR_20231025T103847.SAFE,True
8,S2A_MSIL2A_20160425T103022_N0500_R108_T32TLR_20231005T021307.SAFE,True
9,S2A_MSIL2A_20160505T103032_N0500_R108_T32TLR_20231004T201955.SAFE,True
10,S2A_MSIL2A_20160515T103032_N0500_R108_T32TLR_20231009T024401.SAFE,True
11,S2A_MSIL2A_20160624T103022_N0500_R108_T32TLR_20231027T140744.SAFE,True
13,S2A_MSIL2A_20160724T103032_N0500_R108_T32TLR_20231028T063158.SAFE,True
14,S2A_MSIL2A_20160803T103032_N0500_R108_T32TLR_20231027T052754.SAFE,True
15,S2A_MSIL2A_20160813T103022_N0500_R108_T32TLR_20231027T235524.SAFE,True
16,S2A_MSIL2A_20160823T103022_N0500_R108_T32TLR_20231026T235916.SAFE,True
17,S2A_MSIL2A_20160902T103022_N0500_R108_T32TLR_20231027T155018.SAFE,True
19,S2A_MSIL2A_20160922T103022_N0500_R108_T32TLR_20231027T095442.SAFE,True
21,S2A_MSIL2A_20161012T103022_N0500_R108_T32TLR_20230927T083001.SAFE,True
22,S2A_MSIL2A_20161022T103052_N0500_R108_T32TLR_20231027T075045.SAFE,True
23,S2A_MSIL2A_20161101T103202_N0500_R108_T32TLR_20230927T023851.SAFE,True
24,S2A_MSIL2A_20161201T103412_N0500_R108_T32TLR_20231023T191412.SAFE,True
25,S2A_MSIL2A_20161211T103432_N0500_R108_T32TLR_20230920T065331.SAFE,True
26,S2A_MSIL2A_20161221T103432_N0500_R108_T32TLR_20231021T211911.SAFE,True
27,S2A_MSIL2A_20161231T103432_N0500_R108_T32TLR_20230924T040845.SAFE,True
30,S2A_MSIL2A_20170209T103151_N0500_R108_T32TLR_20231025T153941.SAFE,True
31,S2A_MSIL2A_20170219T103051_N0500_R108_T32TLR_20231025T175617.SAFE,True
33,S2A_MSIL2A_20170311T103011_N0500_R108_T32TLR_20231024T065020.SAFE,True
34,S2A_MSIL2A_20170321T103011_N0500_R108_T32TLR_20231101T112417.SAFE,True
35,S2B_MSIL2A_20170326T103029_N0500_R137_T32TLR_20231026T035402.SAFE,True
37,S2B_MSIL2A_20170405T103019_N0500_R108_T32TLR_20230915T023758.SAFE,True
38,S2A_MSIL2A_20170410T103021_N0500_R108_T32TLR_20231112T080807.SAFE,True
39,S2A_MSIL2A_20170430T103021_N0500_R108_T32TLR_20231113T073913.SAFE,True
40,S2A_MSIL2A_20170510T103031_N0500_R108_T32TLR_20231019T123546.SAFE,True
41,S2B_MSIL2A_20170515T103019_N0500_R108_T32TLR_20230925T215953.SAFE,True
42,S2A_MSIL2A_20170520T103031_N0500_R108_T32TLR_20231114T024431.SAFE,True
43,S2B_MSIL2A_20170525T103019_N0500_R108_T32TLR_20230923T140443.SAFE,True
47,S2A_MSIL2A_20170619T103021_N0500_R108_T32TLR_20231016T211100.SAFE,True
48,S2B_MSIL2A_20170704T103019_N0500_R108_T32TLR_20231006T060511.SAFE,True
52,S2A_MSIL2A_20170729T103021_N0500_R108_T32TLR_20230904T031157.SAFE,True
54,S2B_MSIL2A_20170813T103019_N0500_R108_T32TLR_20230920T072210.SAFE,True
56,S2A_MSIL2A_20170907T103021_N0500_R108_T32TLR_20230825T181220.SAFE,True
59,S2B_MSIL2A_20170922T103009_N0500_R108_T32TLR_20231016T111453.SAFE,True
60,S2A_MSIL2A_20170927T103021_N0500_R108_T32TLR_20231020T072539.SAFE,True
61,S2A_MSIL2A_20171007T103021_N0500_R108_T32TLR_20231027T224607.SAFE,True
63,S2A_MSIL2A_20171017T103021_N0500_R108_T32TLR_20231015T175343.SAFE,True
66,S2B_MSIL2A_20171101T103149_N0500_R108_T32TLR_20230807T233221.SAFE,True
68,S2B_MSIL2A_20171121T103329_N0500_R108_T32TLR_20230824T024151.SAFE,True
69,S2A_MSIL2A_20171126T103351_N0500_R108_T32TLR_20230828T181059.SAFE,True
71,S2A_MSIL2A_20171206T103421_N0500_R108_T32TLR_20230806T185959.SAFE,True
77,S2A_MSIL2A_20180125T103321_N0500_R108_T32TLR_20231013T062502.SAFE,True
78,S2B_MSIL2A_20180130T103249_N0500_R108_T32TLR_20230914T225940.SAFE,True
80,S2B_MSIL2A_20180209T103149_N0500_R108_T32TLR_20230803T105321.SAFE,True
81,S2A_MSIL2A_20180214T103131_N0500_R108_T32TLR_20230804T075038.SAFE,True
82,S2B_MSIL2A_20180219T103049_N0500_R108_T32TLR_20230914T232502.SAFE,True
86,S2B_MSIL2A_20180321T103019_N0500_R108_T32TLR_20230913T183246.SAFE,True
87,S2A_MSIL2A_20180326T103021_N0500_R108_T32TLR_20230911T221845.SAFE,True
89,S2B_MSIL2A_20180420T103019_N0500_R108_T32TLR_20230829T044228.SAFE,True
90,S2A_MSIL2A_20180425T103021_N0500_R108_T32TLR_20230908T083700.SAFE,True
92,S2A_MSIL2A_20180505T103021_N0500_R108_T32TLR_20230830T221405.SAFE,True
93,S2A_MSIL2A_20180515T103021_N0500_R108_T32TLR_20230717T092115.SAFE,True
94,S2A_MSIL2A_20180525T103021_N0500_R108_T32TLR_20230724T054127.SAFE,True
95,S2B_MSIL2A_20180609T103019_N0500_R108_T32TLR_20230824T011601.SAFE,True
96,S2A_MSIL2A_20180614T103021_N0500_R108_T32TLR_20230813T122609.SAFE,True
97,S2A_MSIL2A_20180624T103021_N0500_R108_T32TLR_20230823T154249.SAFE,True
98,S2B_MSIL2A_20180629T103019_N0500_R108_T32TLR_20230828T040523.SAFE,True
99,S2A_MSIL2A_20180704T103021_N0500_R108_T32TLR_20230806T114209.SAFE,True
100,S2B_MSIL2A_20180709T103019_N0500_R108_T32TLR_20230820T142139.SAFE,True
101,S2A_MSIL2A_20180714T103021_N0500_R108_T32TLR_20230820T095831.SAFE,True
102,S2B_MSIL2A_20180719T103019_N0500_R108_T32TLR_20230714T110051.SAFE,True
103,S2A_MSIL2A_20180724T103021_N0500_R108_T32TLR_20230817T165054.SAFE,True
104,S2B_MSIL2A_20180729T103019_N0500_R108_T32TLR_20230723T090117.SAFE,True
105,S2B_MSIL2A_20180818T103019_N0500_R108_T32TLR_20230806T204653.SAFE,True
106,S2A_MSIL2A_20180823T103021_N0500_R108_T32TLR_20230825T184705.SAFE,True
107,S2B_MSIL2A_20180828T103019_N0500_R108_T32TLR_20230809T071639.SAFE,True
108,S2B_MSIL2A_20180907T103019_N0500_R108_T32TLR_20230804T034459.SAFE,True
109,S2B_MSIL2A_20180917T103019_N0500_R108_T32TLR_20230731T235627.SAFE,True
110,S2A_MSIL2A_20181002T103021_N0500_R108_T32TLR_20230620T080713.SAFE,True
112,S2A_MSIL2A_20181012T103021_N0500_R108_T32TLR_20230730T100825.SAFE,True
113,S2B_MSIL2A_20181017T103019_N0500_R108_T32TLR_20230729T161532.SAFE,True
114,S2A_MSIL2A_20181022T103051_N0500_R108_T32TLR_20230707T023938.SAFE,True
115,S2A_MSIL2A_20181101T103151_N0500_R108_T32TLR_20230703T221532.SAFE,True
116,S2A_MSIL2A_20181111T103241_N0500_R108_T32TLR_20230801T221255.SAFE,True
117,S2B_MSIL2A_20181116T103309_N0500_R108_T32TLR_20230704T152937.SAFE,True
118,S2A_MSIL2A_20181201T103401_N0500_R108_T32TLR_20230703T204831.SAFE,True
120,S2A_MSIL2A_20181211T103421_N0500_R108_T32TLR_20230726T172651.SAFE,True
124,S2B_MSIL2A_20181226T103439_N0500_R108_T32TLR_20230630T145145.SAFE,True
125,S2A_MSIL2A_20181231T103431_N0500_R108_T32TLR_20230702T020550.SAFE,True
129,S2B_MSIL2A_20190204T103229_N0500_R108_T32TLR_20221210T070241.SAFE,True
131,S2A_MSIL2A_20190219T103051_N0500_R108_T32TLR_20221213T072008.SAFE,True
132,S2B_MSIL2A_20190224T103019_N0500_R108_T32TLR_20221214T040827.SAFE,True
134,S2B_MSIL2A_20190306T103019_N0500_R108_T32TLR_20221114T120741.SAFE,True
135,S2A_MSIL2A_20190321T103021_N0500_R108_T32TLR_20221114T235122.SAFE,True
136,S2B_MSIL2A_20190326T103029_N0500_R108_T32TLR_20221111T232501.SAFE,True
137,S2A_MSIL2A_20190331T103021_N0500_R108_T32TLR_20221115T171223.SAFE,True
138,S2A_MSIL2A_20190420T103031_N0500_R108_T32TLR_20221027T020613.SAFE,True
139,S2B_MSIL2A_20190515T103029_N0500_R108_T32TLR_20221217T150206.SAFE,True
141,S2B_MSIL2A_20190714T103029_N0500_R108_T32TLR_20230719T043721.SAFE,True
142,S2A_MSIL2A_20190719T103031_N0500_R108_T32TLR_20230723T085716.SAFE,True
143,S2B_MSIL2A_20190724T103029_N0500_R108_T32TLR_20230723T112954.SAFE,True
144,S2A_MSIL2A_20190729T103031_N0500_R108_T32TLR_20230719T112519.SAFE,True
145,S2B_MSIL2A_20190803T103029_N0500_R108_T32TLR_20230714T080534.SAFE,True
146,S2A_MSIL2A_20190808T103031_N0500_R108_T32TLR_20230808T044628.SAFE,True
147,S2B_MSIL2A_20190813T103029_N0500_R108_T32TLR_20230720T202426.SAFE,True
148,S2A_MSIL2A_20190818T103031_N0500_R108_T32TLR_20230719T152637.SAFE,True
149,S2B_MSIL2A_20190823T103029_N0500_R108_T32TLR_20230710T225659.SAFE,True
152,S2B_MSIL2A_20190912T103019_N0500_R108_T32TLR_20230705T081605.SAFE,True
153,S2A_MSIL2A_20190917T103021_N0500_R108_T32TLR_20230630T120843.SAFE,True
154,S2B_MSIL2A_20190922T103019_N0500_R108_T32TLR_20230503T171118.SAFE,True
155,S2A_MSIL2A_20190927T103021_N0500_R108_T32TLR_20230702T074648.SAFE,True
157,S2A_MSIL2A_20191007T103021_N0500_R108_T32TLR_20230614T035405.SAFE,True
159,S2A_MSIL2A_20191017T103031_N0500_R108_T32TLR_20230622T070845.SAFE,True
161,S2A_MSIL2A_20191027T103131_N0500_R108_T32TLR_20230615T214118.SAFE,True
165,S2B_MSIL2A_20191121T103239_N0500_R108_T32TLR_20230621T055622.SAFE,True
166,S2A_MSIL2A_20191126T103351_N0500_R108_T32TLR_20230622T064718.SAFE,True
167,S2A_MSIL2A_20191206T103421_N0500_R108_T32TLR_20230626T200401.SAFE,True
169,S2A_MSIL2A_20191226T103431_N0500_R108_T32TLR_20230613T184010.SAFE,True
170,S2B_MSIL2A_20191231T103339_N0500_R108_T32TLR_20230617T020808.SAFE,True
171,S2A_MSIL2A_20200105T103421_N0500_R108_T32TLR_20230501T164307.SAFE,True
172,S2B_MSIL2A_20200110T103319_N0500_R108_T32TLR_20230429T022509.SAFE,True
173,S2B_MSIL2A_20200120T103239_N0500_R108_T32TLR_20230422T081706.SAFE,True
175,S2B_MSIL2A_20200209T103059_N0500_R108_T32TLR_20230625T025929.SAFE,True
176,S2A_MSIL2A_20200224T103021_N0500_R108_T32TLR_20230613T121929.SAFE,True
178,S2A_MSIL2A_20200315T103021_N0500_R108_T32TLR_20230412T055332.SAFE,True
179,S2B_MSIL2A_20200320T102639_N0500_R108_T32TLR_20230531T190437.SAFE,True
180,S2A_MSIL2A_20200325T103021_N0500_R108_T32TLR_20230615T025837.SAFE,True
181,S2B_MSIL2A_20200330T102609_N0500_R108_T32TLR_20230614T145232.SAFE,True
182,S2A_MSIL2A_20200404T103021_N0500_R108_T32TLR_20230531T024718.SAFE,True
183,S2B_MSIL2A_20200409T102559_N0500_R108_T32TLR_20230426T095025.SAFE,True
184,S2A_MSIL2A_20200414T103021_N0500_R108_T32TLR_20230509T125627.SAFE,True
185,S2A_MSIL2A_20200424T103021_N0500_R108_T32TLR_20230519T131330.SAFE,True
186,S2A_MSIL2A_20200504T103031_N0500_R108_T32TLR_20230423T221058.SAFE,True
187,S2A_MSIL2A_20200514T103031_N0500_R108_T32TLR_20230427T235543.SAFE,True
188,S2B_MSIL2A_20200519T102559_N0500_R108_T32TLR_20230619T002537.SAFE,True
189,S2A_MSIL2A_20200524T103031_N0500_R108_T32TLR_20230503T134650.SAFE,True
191,S2B_MSIL2A_20200708T102559_N0500_R108_T32TLR_20230528T131050.SAFE,True
192,S2A_MSIL2A_20200713T103031_N0500_R108_T32TLR_20230529T131424.SAFE,True
193,S2B_MSIL2A_20200718T102559_N0500_R108_T32TLR_20230423T131809.SAFE,True
194,S2B_MSIL2A_20200728T102559_N0500_R108_T32TLR_20230505T111819.SAFE,True
195,S2B_MSIL2A_20200807T102559_N0500_R108_T32TLR_20230419T064143.SAFE,True
196,S2A_MSIL2A_20200812T103031_N0500_R108_T32TLR_20230520T005721.SAFE,True
197,S2B_MSIL2A_20200817T102559_N0500_R108_T32TLR_20230424T145752.SAFE,True
198,S2A_MSIL2A_20200822T103031_N0500_R108_T32TLR_20230320T145515.SAFE,True
199,S2B_MSIL2A_20200827T102559_N0500_R108_T32TLR_20230522T024422.SAFE,True
200,S2A_MSIL2A_20200901T103031_N0500_R108_T32TLR_20230418T003836.SAFE,True
201,S2B_MSIL2A_20200916T102649_N0500_R108_T32TLR_20230413T184507.SAFE,True
205,S2B_MSIL2A_20201016T102929_N0500_R108_T32TLR_20230411T030257.SAFE,True
206,S2A_MSIL2A_20201031T103201_N0500_R108_T32TLR_20230315T113137.SAFE,True
207,S2B_MSIL2A_20201105T103229_N0500_R108_T32TLR_20230303T024000.SAFE,True
208,S2A_MSIL2A_20201110T103251_N0500_R108_T32TLR_20230404T045521.SAFE,True
209,S2B_MSIL2A_20201115T103309_N0500_R108_T32TLR_20230303T224335.SAFE,True
210,S2A_MSIL2A_20201120T103341_N0500_R108_T32TLR_20230404T222712.SAFE,True
211,S2B_MSIL2A_20201125T103349_N0500_R108_T32TLR_20230307T154233.SAFE,True
212,S2A_MSIL2A_20201130T103411_N0500_R108_T32TLR_20230304T183511.SAFE,True
213,S2A_MSIL2A_20201210T103431_N0500_R108_T32TLR_20230301T035840.SAFE,True
219,S2A_MSIL2A_20210119T103351_N0500_R108_T32TLR_20230528T013803.SAFE,True
220,S2B_MSIL2A_20210124T103229_N0500_R108_T32TLR_20230522T195142.SAFE,True
222,S2A_MSIL2A_20210208T103201_N0500_R108_T32TLR_20230603T054335.SAFE,True
223,S2B_MSIL2A_20210213T103039_N0500_R108_T32TLR_20230609T143935.SAFE,True
224,S2A_MSIL2A_20210218T103101_N0500_R108_T32TLR_20230610T160832.SAFE,True
225,S2B_MSIL2A_20210223T102929_N0500_R108_T32TLR_20230522T170111.SAFE,True
226,S2A_MSIL2A_20210228T103021_N0500_R108_T32TLR_20230604T050844.SAFE,True
227,S2B_MSIL2A_20210305T102809_N0500_R108_T32TLR_20230609T002102.SAFE,True
228,S2A_MSIL2A_20210310T103021_N0500_R108_T32TLR_20230526T091459.SAFE,True
229,S2A_MSIL2A_20210320T103021_N0500_R108_T32TLR_20230522T130114.SAFE,True
230,S2A_MSIL2A_20210330T103021_N0500_R108_T32TLR_20230524T075138.SAFE,True
231,S2B_MSIL2A_20210404T102559_N0500_R108_T32TLR_20230511T111624.SAFE,True
232,S2B_MSIL2A_20210414T102559_N0500_R108_T32TLR_20230517T190217.SAFE,True
233,S2A_MSIL2A_20210419T103021_N0500_R108_T32TLR_20230523T062857.SAFE,True
236,S2A_MSIL2A_20210519T103021_N0500_R108_T32TLR_20230223T114622.SAFE,True
238,S2A_MSIL2A_20210618T103021_N0500_R108_T32TLR_20230317T223257.SAFE,True
242,S2B_MSIL2A_20210812T102559_N0500_R108_T32TLR_20230212T230558.SAFE,True
243,S2A_MSIL2A_20210817T103021_N0500_R108_T32TLR_20230216T074822.SAFE,True
244,S2A_MSIL2A_20210827T103021_N0500_R108_T32TLR_20230218T100102.SAFE,True
245,S2B_MSIL2A_20210901T102559_N0500_R108_T32TLR_20230117T080021.SAFE,True
246,S2A_MSIL2A_20210906T103021_N0500_R108_T32TLR_20230116T185015.SAFE,True
